gamma,state,value,sample_std,stderr,ci_lower_95,ci_upper_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,s1,0.8995099877634569,0.973470849512658,0.21767469936247713,0.47286757701300175,1.326152398513912,1,10,20,monte_carlo
0.0,s2,0.8781103807002886,1.2370204566374203,0.27660618305991025,0.3359622619028645,1.4202584994977125,2,10,20,monte_carlo
0.0,s0,0.7981408280387321,0.8423854811331911,0.18836311990726817,0.4289491130204865,1.1673325430569776,3,10,20,monte_carlo
0.0,s3,0.2669629739521359,1.4201578006404465,0.3175569381008633,-0.3554486247255561,0.8893745726298279,4,10,20,monte_carlo
0.25,s0,1.92457258142856,0.9595215257919931,0.21455553575452144,1.504043731349698,2.345101431507422,1,10,20,monte_carlo
0.25,s3,0.8296944293665124,1.2960129458045717,0.2897973046538773,0.26169171224491283,1.3976971464881118,2,10,20,monte_carlo
0.25,s2,0.7626576946122465,1.3501939071660936,0.30191253592294254,0.1709091242032792,1.3544062650212139,3,10,20,monte_carlo
0.25,s1,0.5620005115935223,1.1010855853603319,0.24621022179108493,0.07942847688299581,1.0445725463040487,4,10,20,monte_carlo
0.5,s0,2.002210784989,1.3573090833145802,0.30350353767693267,1.4073438511422118,2.597077718835788,1,10,20,monte_carlo
0.5,s2,1.2360003902998233,1.202994661553189,0.26899778398022833,0.7087647336985758,1.7632360469010708,2,10,20,monte_carlo
0.5,s3,1.1226682205440466,1.3026574471024408,0.2912830603117394,0.5517534223330374,1.6935830187550558,3,10,20,monte_carlo
0.5,s1,0.7310260985404471,1.019993836317986,0.22807755546378103,0.28399408983143626,1.1780581072494578,4,10,20,monte_carlo
0.75,s2,2.781326165024457,1.8557729385840889,0.41496344414785646,1.9679978144946584,3.594654515554256,1,10,20,monte_carlo
0.75,s3,2.7254360352160276,1.5776569463141334,0.35277481771331387,2.033997392497932,3.416874677934123,2,10,20,monte_carlo
0.75,s0,1.9289086671578999,1.231670886155502,0.2754099827351107,1.389105100997083,2.468712233318717,3,10,20,monte_carlo
0.75,s1,1.6152665819867025,1.5253901826580456,0.3410876140634211,0.9467348584223971,2.2837983055510076,4,10,20,monte_carlo
1.0,s0,7.3777145359164304,4.333634353018809,0.9690301002978378,5.478415539332668,9.277013532500192,1,10,20,monte_carlo
1.0,s1,6.637207177338934,4.088483354567416,0.9142126705689118,4.845350343023867,8.429064011654,2,10,20,monte_carlo
1.0,s3,6.49428978537524,3.164035709412989,0.7074998929484214,5.107589995196333,7.880989575554146,3,10,20,monte_carlo
1.0,s2,5.331947635476608,3.4969200116710883,0.7819350857975911,3.7993548673133293,6.864540403639886,4,10,20,monte_carlo
