gamma,state,value,sample_std,stderr,ci_lower_95,ci_upper_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Computer,3.18,2.39266556059314,0.239266556059314,2.711037550123745,3.6489624498762554,1,20,100,monte_carlo
0.0,Coffee,2.04,0.5671121243776769,0.05671121243776769,1.9288460236219753,2.1511539763780245,2,20,100,monte_carlo
0.0,Home,1.0,0.0,0.0,1.0,1.0,3,20,100,monte_carlo
0.0,Chat,0.44,1.335755375898755,0.1335755375898755,0.178191946323844,0.701808053676156,4,20,100,monte_carlo
0.05,Computer,3.22236586154913,2.579721988257753,0.2579721988257753,2.7167403518506106,3.72799137124765,1,20,100,monte_carlo
0.05,Coffee,2.1424260208612034,0.504273643386055,0.05042736433860549,2.0435883867575364,2.2412636549648703,2,20,100,monte_carlo
0.05,Home,1.070480864107775,0.02681064105635341,0.002681064105635341,1.0652259784607296,1.0757357497548203,3,20,100,monte_carlo
0.05,Chat,0.4221225011548443,1.4408034106383543,0.14408034106383544,0.13972503266972686,0.7045199696399618,4,20,100,monte_carlo
0.1,Computer,3.1612970717806137,2.6097402082034584,0.2609740208203458,2.6497879909727358,3.6728061525884916,1,20,100,monte_carlo
0.1,Coffee,2.0619609247215673,0.5859231840701121,0.058592318407011214,1.9471199806438253,2.176801868799309,2,20,100,monte_carlo
0.1,Home,1.1564557520297158,0.06471747508999845,0.006471747508999845,1.143771126912076,1.1691403771473556,3,20,100,monte_carlo
0.1,Chat,0.4533295096836795,1.4432504922522997,0.14432504922522998,0.17045241320222876,0.7362066061651302,4,20,100,monte_carlo
0.15000000000000002,Computer,3.267224094097079,2.803456579597465,0.2803456579597465,2.717746604495976,3.8167015836981824,1,20,100,monte_carlo
0.15000000000000002,Coffee,2.1967734308381206,0.6835930364946332,0.06835930364946333,2.0627891956851725,2.3307576659910687,2,20,100,monte_carlo
0.15000000000000002,Home,1.250077168459245,0.10457333849793309,0.010457333849793308,1.2295807941136503,1.27057354280484,3,20,100,monte_carlo
