gamma,state,value,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Computer,2.8,1,50,100,exact
0.0,Coffee,2.1,2,50,100,exact
0.0,Home,1.0,3,50,100,exact
0.0,Chat,0.3,4,50,100,exact
0.05,Computer,2.906825699279282,1,50,100,exact
0.05,Coffee,2.152940253213472,2,50,100,exact
0.05,Home,1.0753183557363601,3,50,100,exact
0.05,Chat,0.37449414156033234,4,50,100,exact
0.1,Computer,3.02319315046619,1,50,100,exact
0.1,Coffee,2.2146623101638125,2,50,100,exact
0.1,Home,1.1580707366027154,3,50,100,exact
0.1,Chat,0.45788320075501254,4,50,100,exact
0.15000000000000002,Computer,3.1506696977479565,1,50,100,exact
0.15000000000000002,Coffee,2.2867567922402765,2,50,100,exact
0.15000000000000002,Home,1.2496762720158423,3,50,100,exact
0.15000000000000002,Chat,0.5517652326117474,4,50,100,exact
0.2,Computer,3.291209198126307,1,50,100,exact
0.2,Coffee,2.371211419895947,2,50,100,exact
0.2,Home,1.3519283108996314,3,50,100,exact
0.2,Chat,0.6581344540926848,4,50,100,exact
0.25,Computer,3.4472811995039647,1,50,100,exact
0.25,Coffee,2.470542256961407,2,50,100,exact
0.25,Home,1.467122618466048,3,50,100,exact
0.25,Chat,0.7795122317838488,4,50,100,exact
0.30000000000000004,Computer,3.6220556932643317,1,50,100,exact
0.30000000000000004,Coffee,2.587980900306906,2,50,100,exact
0.30000000000000004,Home,1.5982411073619862,3,50,100,exact
0.30000000000000004,Chat,0.9191339604849462,4,50,100,exact
0.35000000000000003,Computer,3.8196734300305892,1,50,100,exact
0.35000000000000003,Coffee,2.7277476678607186,2,50,100,exact
0.35000000000000003,Home,1.7492211056968363,3,50,100,exact
0.35000000000000003,Chat,1.0812218750344997,4,50,100,exact
0.4,Computer,4.045651796563097,1,50,100,exact
0.4,Coffee,2.8954608574900194,2,50,100,exact
0.4,Home,1.9253601805242146,3,50,100,exact
0.4,Chat,1.2713938552334665,4,50,100,exact
0.45,Computer,4.307512636326971,1,50,100,exact
0.45,Coffee,3.0987685451773532,2,50,100,exact
0.45,Home,2.1339429289478407,3,50,100,exact
0.45,Chat,1.4972946773807778,4,50,100,exact
0.5,Computer,4.61578753227591,1,50,100,exact
0.5,Coffee,3.348358539284394,2,50,100,exact
0.5,Home,2.385245296938396,3,50,100,exact
0.5,Chat,1.7696053116930994,4,50,100,exact
0.55,Computer,4.985694349359467,1,50,100,exact
0.55,Coffee,3.6596403996799856,2,50,100,exact
0.55,Home,2.6942102804917,3,50,100,exact
0.55,Chat,2.1037241539433835,4,50,100,exact
0.6000000000000001,Computer,5.440072686001857,1,50,100,exact
0.6000000000000001,Coffee,4.0556872953788705,2,50,100,exact
0.6000000000000001,Home,3.0833827357479713,3,50,100,exact
0.6000000000000001,Chat,2.522707941305102,4,50,100,exact
0.65,Computer,6.014837554821734,1,50,100,exact
0.65,Coffee,4.572697157622548,2,50,100,exact
0.65,Home,3.588362721824309,3,50,100,exact
0.65,Chat,3.0627317822402005,4,50,100,exact
0.7000000000000001,Computer,6.769889732907363,1,50,100,exact
0.7000000000000001,Coffee,5.270911715235364,2,50,100,exact
0.7000000000000001,Home,4.2687159535496395,3,50,100,exact
0.7000000000000001,Chat,3.784006856671364,4,50,100,exact
0.75,Computer,7.81312023614594,1,50,100,exact
0.75,Coffee,6.258631018362509,2,50,100,exact
0.75,Home,5.231978997780907,3,50,100,exact
0.75,Chat,4.794793358652733,4,50,100,exact
0.8,Computer,9.360344161004443,1,50,100,exact
0.8,Coffee,7.752158842410479,2,50,100,exact
0.8,Home,6.693594688889178,3,50,100,exact
0.8,Chat,6.311344036796269,4,50,100,exact
0.8500000000000001,Computer,11.912911985484325,1,50,100,exact
0.8500000000000001,Coffee,10.253427195798109,2,50,100,exact
0.8500000000000001,Home,9.154526152876482,3,50,100,exact
0.8500000000000001,Chat,8.83552651812574,4,50,100,exact
0.9,Computer,16.91398314729658,1,50,100,exact
0.9,Coffee,15.20628484437476,2,50,100,exact
0.9,Home,14.057534635612306,3,50,100,exact
0.9,Chat,13.811109291207782,4,50,100,exact
0.9500000000000001,Computer,29.82419382398621,1,50,100,exact
0.9500000000000001,Coffee,28.072181804502392,2,50,100,exact
0.9500000000000001,Home,26.862853532201868,3,50,100,exact
0.9500000000000001,Chat,26.6994432682427,4,50,100,exact
1.0,Computer,77.56693470497066,1,50,100,exact
1.0,Coffee,75.77546551065787,2,50,100,exact
1.0,Home,74.49347498933085,3,50,100,exact
1.0,Chat,74.42475461018392,4,50,100,exact
