gamma,state,value,rank_within_gamma,num_time_steps,method
0.0,Computer,2.8,1,10,exact
0.0,Coffee,2.1,2,10,exact
0.0,Home,1.0,3,10,exact
0.0,Chat,0.3,4,10,exact
0.05,Computer,2.9068256992791266,1,10,exact
0.05,Coffee,2.152940253213316,2,10,exact
0.05,Home,1.0753183557362047,3,10,exact
0.05,Chat,0.3744941415601768,4,10,exact
0.1,Computer,3.0231931502981233,1,10,exact
0.1,Coffee,2.2146623099957163,2,10,exact
0.1,Home,1.1580707364345943,3,10,exact
0.1,Chat,0.4578832005869241,4,10,exact
0.15000000000000002,Computer,3.1506696874862268,1,10,exact
0.15000000000000002,Coffee,2.286756781976847,2,10,exact
0.15000000000000002,Home,1.2496762617508965,3,10,exact
0.15000000000000002,Chat,0.5517652223487698,4,10,exact
0.2,Computer,3.2912090045109577,1,10,exact
0.2,Coffee,2.371211226250558,2,10,exact
0.2,Home,1.3519281172257283,3,10,exact
0.2,Chat,0.6581342604553848,4,10,exact
0.25,Computer,3.447279276095162,1,10,exact
0.25,Coffee,2.4705403332745686,2,10,exact
0.25,Home,1.4671206944978654,3,10,exact
0.25,Chat,0.7795103081729196,4,10,exact
0.30000000000000004,Computer,3.6220429332750927,1,10,exact
0.30000000000000004,Coffee,2.5879681386099516,2,10,exact
0.30000000000000004,Home,1.598228343818402,3,10,exact
0.30000000000000004,Chat,0.9191211992612964,4,10,exact
0.35000000000000003,Computer,3.8196092343252004,1,10,exact
0.35000000000000003,Coffee,2.7276834642585595,2,10,exact
0.35000000000000003,Home,1.749156892944221,3,10,exact
0.35000000000000003,Chat,1.081157673657405,4,10,exact
0.4,Computer,4.045387439634304,1,10,exact
0.4,Coffee,2.895196470922838,2,10,exact
0.4,Home,1.925095757039639,3,10,exact
0.4,Chat,1.2711294771708033,4,10,exact
0.45,Computer,4.306576136538298,1,10,exact
0.45,Coffee,3.097831950631744,2,10,exact
0.45,Home,2.1330062070792315,3,10,exact
0.45,Chat,1.4963581105787473,4,10,exact
0.5,Computer,4.612833069496484,1,10,exact
0.5,Coffee,3.3454038098486327,2,10,exact
0.5,Home,2.382290179422656,3,10,exact
0.5,Chat,1.7666506621050782,4,10,exact
0.55,Computer,4.977179712042064,1,10,exact
0.55,Coffee,3.6511250864020335,2,10,exact
0.55,Home,2.685693896723821,3,10,exact
0.55,Chat,2.095209048242781,4,10,exact
0.6000000000000001,Computer,5.417205769642144,1,10,exact
0.6000000000000001,Coffee,4.032818809358211,2,10,exact
0.6000000000000001,Home,3.0605115301419286,3,10,exact
0.6000000000000001,Chat,2.499839951232787,4,10,exact
0.65,Computer,5.956650826969012,1,10,exact
0.65,Coffee,4.514507049285257,2,10,exact
0.65,Home,3.5301661649408382,3,10,exact
0.65,Chat,3.004542777241925,4,10,exact
0.7000000000000001,Computer,6.6274534491122,1,10,exact
0.7000000000000001,Coffee,5.128468617242243,2,10,exact
0.7000000000000001,Home,4.126258435995748,3,10,exact
0.7000000000000001,Chat,3.641566067390769,4,10,exact
