gamma,state,value,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Computer,2.8,1,10,10,exact
0.0,Coffee,2.1,2,10,10,exact
0.0,Home,1.0,3,10,10,exact
0.0,Chat,0.3,4,10,10,exact
0.05,Computer,2.9068256992791266,1,10,10,exact
0.05,Coffee,2.152940253213316,2,10,10,exact
0.05,Home,1.0753183557362047,3,10,10,exact
0.05,Chat,0.3744941415601768,4,10,10,exact
0.1,Computer,3.0231931502981233,1,10,10,exact
0.1,Coffee,2.2146623099957163,2,10,10,exact
0.1,Home,1.1580707364345943,3,10,10,exact
0.1,Chat,0.4578832005869241,4,10,10,exact
0.15000000000000002,Computer,3.1506696874862268,1,10,10,exact
0.15000000000000002,Coffee,2.286756781976847,2,10,10,exact
0.15000000000000002,Home,1.2496762617508965,3,10,10,exact
0.15000000000000002,Chat,0.5517652223487698,4,10,10,exact
0.2,Computer,3.2912090045109577,1,10,10,exact
0.2,Coffee,2.371211226250558,2,10,10,exact
0.2,Home,1.3519281172257283,3,10,10,exact
0.2,Chat,0.6581342604553848,4,10,10,exact
0.25,Computer,3.447279276095162,1,10,10,exact
0.25,Coffee,2.4705403332745686,2,10,10,exact
0.25,Home,1.4671206944978654,3,10,10,exact
0.25,Chat,0.7795103081729196,4,10,10,exact
0.30000000000000004,Computer,3.6220429332750927,1,10,10,exact
0.30000000000000004,Coffee,2.5879681386099516,2,10,10,exact
0.30000000000000004,Home,1.598228343818402,3,10,10,exact
0.30000000000000004,Chat,0.9191211992612964,4,10,10,exact
0.35000000000000003,Computer,3.8196092343252004,1,10,10,exact
0.35000000000000003,Coffee,2.7276834642585595,2,10,10,exact
0.35000000000000003,Home,1.749156892944221,3,10,10,exact
0.35000000000000003,Chat,1.081157673657405,4,10,10,exact
0.4,Computer,4.045387439634304,1,10,10,exact
0.4,Coffee,2.895196470922838,2,10,10,exact
0.4,Home,1.925095757039639,3,10,10,exact
0.4,Chat,1.2711294771708033,4,10,10,exact
0.45,Computer,4.306576136538298,1,10,10,exact
0.45,Coffee,3.097831950631744,2,10,10,exact
0.45,Home,2.1330062070792315,3,10,10,exact
0.45,Chat,1.4963581105787473,4,10,10,exact
0.5,Computer,4.612833069496484,1,10,10,exact
0.5,Coffee,3.3454038098486327,2,10,10,exact
0.5,Home,2.382290179422656,3,10,10,exact
0.5,Chat,1.7666506621050782,4,10,10,exact
0.55,Computer,4.977179712042064,1,10,10,exact
0.55,Coffee,3.6511250864020335,2,10,10,exact
0.55,Home,2.685693896723821,3,10,10,exact
0.55,Chat,2.095209048242781,4,10,10,exact
0.6000000000000001,Computer,5.417205769642144,1,10,10,exact
0.6000000000000001,Coffee,4.032818809358211,2,10,10,exact
0.6000000000000001,Home,3.0605115301419286,3,10,10,exact
0.6000000000000001,Chat,2.499839951232787,4,10,10,exact
0.65,Computer,5.956650826969012,1,10,10,exact
0.65,Coffee,4.514507049285257,2,10,10,exact
0.65,Home,3.5301661649408382,3,10,10,exact
0.65,Chat,3.004542777241925,4,10,10,exact
0.7000000000000001,Computer,6.6274534491122,1,10,10,exact
0.7000000000000001,Coffee,5.128468617242243,2,10,10,exact
0.7000000000000001,Home,4.126258435995748,3,10,10,exact
0.7000000000000001,Chat,3.641566067390769,4,10,10,exact
0.75,Computer,7.472372213950098,1,10,10,exact
0.75,Coffee,5.917870054263616,2,10,10,exact
0.75,Home,4.891187376472477,3,10,10,exact
0.75,Chat,4.454036974267476,4,10,10,exact
0.8,Computer,8.54829839225072,1,10,10,exact
0.8,Coffee,6.940089809098638,2,10,10,exact
0.8,Home,5.881463272004597,3,10,10,exact
0.8,Chat,5.499283669426662,4,10,10,exact
0.8500000000000001,Computer,9.93039630308326,1,10,10,exact
0.8500000000000001,Coffee,8.270871830508074,2,10,10,exact
0.8500000000000001,Home,7.171848634067271,3,10,10,exact
0.8500000000000001,Chat,6.852986872612705,4,10,10,exact
0.9,Computer,11.717224754795886,1,10,10,exact
0.9,Coffee,10.00946220151581,2,10,10,exact
0.9,Home,8.860480799934042,3,10,10,exact
0.9,Chat,8.614314091064923,4,10,10,exact
0.9500000000000001,Computer,14.03701143615029,1,10,10,exact
0.9500000000000001,Coffee,12.284900916661314,2,10,10,exact
0.9500000000000001,Home,11.075148132603829,3,10,10,exact
0.9500000000000001,Chat,10.912208627257504,4,10,10,exact
1.0,Computer,17.055271648199998,1,10,10,exact
1.0,Coffee,15.263660449499998,2,10,10,exact
1.0,Home,13.980911332400002,3,10,10,exact
1.0,Chat,13.913024955800001,4,10,10,exact
