gamma,state,value,rank_within_gamma,num_time_steps,method
0.0,Computer,2.8,1,50,exact
0.0,Coffee,2.1,2,50,exact
0.0,Home,1.0,3,50,exact
0.0,Chat,0.3,4,50,exact
0.02,Computer,2.8416724588193367,1,50,exact
0.02,Coffee,2.1202105779395457,2,50,exact
0.02,Home,1.0293134459752191,3,50,exact
0.02,Chat,0.32881906774209524,4,50,exact
0.04,Computer,2.8847417074181987,1,50,exact
0.04,Coffee,2.141694725656092,2,50,exact
0.04,Home,1.0596999135353458,3,50,exact
0.04,Chat,0.35892903907578283,4,50,exact
0.06,Computer,2.929290429673704,1,50,exact
0.06,Coffee,2.164536093216221,2,50,exact
0.06,Home,1.091233263731524,3,50,exact
0.06,Chat,0.390414083353321,4,50,exact
0.08,Computer,2.9754083761838497,1,50,exact
0.08,Coffee,2.1888256145690828,2,50,exact
0.08,Home,1.1239941383048433,3,50,exact
0.08,Chat,0.42336563631408103,4,50,exact
0.1,Computer,3.02319315046619,1,50,exact
0.1,Coffee,2.2146623101638125,2,50,exact
0.1,Home,1.1580707366027154,3,50,exact
0.1,Chat,0.45788320075501254,4,50,exact
0.12,Computer,3.0727511027954106,1,50,exact
0.12,Coffee,2.2421541983350863,2,50,exact
0.12,Home,1.1935596999138838,3,50,exact
0.12,Chat,0.4940752558092307,4,50,exact
0.14,Computer,3.124198349251517,1,50,exact
0.14,Coffee,2.2714193331043937,2,50,exact
0.14,Home,1.230567120801142,3,50,exact
0.14,Chat,0.5320602924682654,4,50,exact
0.16,Computer,3.177661936902109,1,50,exact
0.16,Coffee,2.302586989401288,2,50,exact
0.16,Home,1.269209698364693,3,50,exact
0.16,Chat,0.5719679963392854,4,50,exact
0.18,Computer,3.233281180130088,1,50,exact
0.18,Coffee,2.335799020801934,2,50,exact
0.18,Home,1.3096160644593489,3,50,exact
0.18,Chat,0.613940602720763,4,50,exact
0.2,Computer,3.291209198126307,1,50,exact
0.2,Coffee,2.371211419895947,2,50,exact
0.2,Home,1.3519283108996314,3,50,exact
0.2,Chat,0.6581344540926848,4,50,exact
0.22,Computer,3.351614689731067,1,50,exact
0.22,Coffee,2.4089961175626704,2,50,exact
0.22,Home,1.39630375385428,3,50,exact
0.22,Chat,0.7047217962865258,4,50,exact
0.24,Computer,3.414683989433324,1,50,exact
0.24,Coffee,2.449343065069121,2,50,exact
0.24,Home,1.4429169792600884,3,50,exact
0.24,Chat,0.7538928572301331,4,50,exact
0.26,Computer,3.480623457816846,1,50,exact
0.26,Coffee,2.4924626523885474,2,50,exact
0.26,Home,1.4919622225692049,3,50,exact
0.26,Chat,0.8058582616481821,4,50,exact
0.28,Computer,3.549662271593632,1,50,exact
0.28,Coffee,2.5385885279964056,2,50,exact
0.28,Home,1.5436561479995161,3,50,exact
0.28,Chat,0.860851846955423,4,50,exact
0.3,Computer,3.6220556932643317,1,50,exact
0.3,Coffee,2.587980900306906,2,50,exact
0.3,Home,1.5982411073619862,3,50,exact
0.3,Chat,0.919133960484946,4,50,exact
0.32,Computer,3.698088919289536,1,50,exact
0.32,Coffee,2.640930419764802,2,50,exact
0.32,Home,1.6559889773884833,3,50,exact
0.32,Chat,0.9809953370437413,4,50,exact
0.34,Computer,3.778081629640308,1,50,exact
0.34,Coffee,2.697762764599167,2,50,exact
0.34,Home,1.7172056984742294,3,50,exact
0.34,Chat,1.0467616797783794,4,50,exact
0.36,Computer,3.8623933923274896,1,50,exact
0.36,Coffee,2.7588440839849495,2,50,exact
0.36,Home,1.7822366684870314,3,50,exact
0.36,Chat,1.1167990980710796,4,50,exact
0.38,Computer,3.9514301161636043,1,50,exact
0.38,Coffee,2.824587492020565,2,50,exact
0.38,Home,1.851473184957417,3,50,exact
0.38,Chat,1.1915205958471775,4,50,exact
0.4,Computer,4.045651796563097,1,50,exact
0.4,Coffee,2.8954608574900194,2,50,exact
0.4,Home,1.9253601805242146,3,50,exact
0.4,Chat,1.2713938552334665,4,50,exact
0.42,Computer,4.145581866738805,1,50,exact
0.42,Coffee,2.9719962019388237,2,50,exact
0.42,Home,2.0044055640718215,3,50,exact
0.42,Chat,1.3569506280657602,4,50,exact
0.44,Computer,4.251818555919528,1,50,exact
0.44,Coffee,3.054801107868591,2,50,exact
0.44,Home,2.0891915692729235,3,50,exact
0.44,Chat,1.4487981370177099,4,50,exact
0.46,Computer,4.365048775237883,1,50,exact
0.46,Coffee,3.1445726578883253,2,50,exact
0.46,Home,2.1803886312865357,3,50,exact
0.46,Chat,1.5476330071539661,4,50,exact
0.48,Computer,4.48606521216457,1,50,exact
0.48,Coffee,3.2421145858961227,2,50,exact
0.48,Home,2.2787724726012013,3,50,exact
0.48,Chat,1.654258408944376,4,50,exact
0.5,Computer,4.61578753227591,1,50,exact
0.5,Coffee,3.348358539284394,2,50,exact
0.5,Home,2.385245296938396,3,50,exact
0.5,Chat,1.7696053116930994,4,50,exact
0.52,Computer,4.7552888867709076,1,50,exact
0.52,Coffee,3.464390650799618,2,50,exact
0.52,Home,2.500862289776615,3,50,exact
0.52,Chat,1.894759045972179,4,50,exact
0.54,Computer,4.905829341032301,1,50,exact
0.54,Coffee,3.591485035573924,2,50,exact
0.54,Home,2.626865040952522,3,50,exact
0.54,Chat,2.0309927905330873,4,50,exact
0.56,Computer,5.068898426947718,1,50,exact
0.56,Coffee,3.731146416275074,2,50,exact
0.56,Home,2.76472409223679,3,50,exact
0.56,Chat,2.179810186596718,4,50,exact
0.58,Computer,5.246269860882828,1,50,exact
0.58,Coffee,3.885164918504048,2,50,exact
0.58,Home,2.916193651979593,3,50,exact
0.58,Chat,2.3430001216025866,4,50,exact
0.6,Computer,5.440072686001857,1,50,exact
0.6,Coffee,4.05568729537887,2,50,exact
0.6,Home,3.0833827357479704,3,50,exact
0.6,Chat,2.522707941305101,4,50,exact
0.62,Computer,5.652884890796987,1,50,exact
0.62,Coffee,4.245310633414116,2,50,exact
0.62,Home,3.2688487850695815,3,50,exact
0.62,Chat,2.7215291422733134,4,50,exact
0.64,Computer,5.88785824534493,1,50,exact
0.64,Coffee,4.457207281465503,2,50,exact
0.64,Home,3.4757225060828025,3,50,exact
0.64,Chat,2.9426342865083073,4,50,exact
0.66,Computer,6.148887209987783,1,50,exact
0.66,Coffee,4.695293857688923,2,50,exact
0.66,Home,3.707876783103414,3,50,exact
0.66,Chat,3.1899379930703056,4,50,exact
0.68,Computer,6.440841196239868,1,50,exact
0.68,Coffee,4.964463614566773,2,50,exact
0.68,Home,3.9701589472571017,3,50,exact
0.68,Chat,3.4683312867091765,4,50,exact
0.7000000000000001,Computer,6.769889732907363,1,50,exact
0.7000000000000001,Coffee,5.270911715235364,2,50,exact
0.7000000000000001,Home,4.2687159535496395,3,50,exact
0.7000000000000001,Chat,3.784006856671364,4,50,exact
0.72,Computer,7.143966940741727,1,50,exact
0.72,Coffee,5.622599824673966,2,50,exact
0.72,Home,4.61145887012173,3,50,exact
0.72,Chat,4.144923629181726,4,50,exact
0.74,Computer,7.573450133593393,1,50,exact
0.74,Coffee,6.029934833949646,2,50,exact
0.74,Home,5.008741498125355,3,50,exact
0.74,Chat,4.56148547173156,4,50,exact
0.76,Computer,8.072176721370488,1,50,exact
0.76,Coffee,6.506785893033828,2,50,exact
0.76,Home,5.474377298044981,3,50,exact
0.76,Chat,5.047558204625483,4,50,exact
0.78,Computer,8.659012027459728,1,50,exact
0.78,Coffee,7.072052365036241,2,50,exact
0.78,Home,6.027207235691318,3,50,exact
0.78,Chat,5.6220375325700065,4,50,exact
0.8,Computer,9.360344161004443,1,50,exact
0.8,Coffee,7.752158842410479,2,50,exact
0.8,Home,6.693594688889178,3,50,exact
0.8,Chat,6.311344036796269,4,50,exact
0.8200000000000001,Computer,10.214193893882344,1,50,exact
0.8200000000000001,Coffee,8.585165175095629,2,50,exact
0.8200000000000001,Home,7.511535365388802,3,50,exact
0.8200000000000001,Chat,7.15353317762184,4,50,exact
0.84,Computer,11.277239314316562,1,50,exact
0.84,Coffee,9.627791282602697,2,50,exact
0.84,Home,8.53768200468512,3,50,exact
0.84,Chat,8.205320079404036,4,50,exact
0.86,Computer,12.637286362746304,1,50,exact
0.86,Coffee,10.96788785568997,2,50,exact
0.86,Home,9.85981497019057,3,50,exact
0.86,Chat,9.554550203477383,4,50,exact
0.88,Computer,14.436247657144474,1,50,exact
0.88,Coffee,12.747415354762609,2,50,exact
0.88,Home,11.619821139840393,3,50,exact
0.88,Chat,11.343178316165334,4,50,exact
0.9,Computer,16.91398314729658,1,50,exact
0.9,Coffee,15.20628484437476,2,50,exact
0.9,Home,14.057534635612306,3,50,exact
0.9,Chat,13.811109291207782,4,50,exact
