gamma,state,value,sample_variance,sample_std,stderr,ci_lower_95,ci_upper_95,ci_width_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.0,Computer,2.2,2.4000000000000004,1.5491933384829668,0.4898979485566356,1.2398000208289943,3.160199979171006,1.9203999583420115,1,50,10,monte_carlo
0.0,Coffee,1.9,0.1,0.31622776601683794,0.09999999999999999,1.704,2.096,0.39199999999999996,2,50,10,monte_carlo
0.0,Home,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,50,10,monte_carlo
0.0,Chat,0.8,1.7333333333333334,1.3165611772087666,0.41633319989322654,-0.016013071790723976,1.6160130717907242,1.632026143581448,4,50,10,monte_carlo
0.0,Computer,2.45,6.471052631578948,2.54382637606794,0.5688168699844858,1.335118934830408,3.564881065169592,2.2297621303391844,1,50,20,monte_carlo
0.0,Coffee,2.1,0.19999999999999998,0.4472135954999579,0.09999999999999999,1.9040000000000001,2.2960000000000003,0.39199999999999996,2,50,20,monte_carlo
0.0,Home,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,50,20,monte_carlo
0.0,Chat,0.2,1.642105263157895,1.2814465510343749,0.28654015976455155,-0.36161871313852106,0.761618713138521,1.1232374262770422,4,50,20,monte_carlo
0.0,Computer,2.82,6.640408163265307,2.5768989431611997,0.3644285434283464,2.105720054880441,3.534279945119559,1.428559890239118,1,50,50,monte_carlo
0.0,Coffee,2.12,0.43428571428571433,0.6590035768383312,0.09319717960171481,1.9373335279806392,2.3026664720193613,0.365332944038722,2,50,50,monte_carlo
0.0,Home,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,50,50,monte_carlo
0.0,Chat,0.34,1.8208163265306123,1.3493762731464536,0.19083062262281766,-0.03402802034072261,0.7140280203407227,0.7480560406814453,4,50,50,monte_carlo
0.0,Computer,3.4,5.6565656565656575,2.3783535600422527,0.23783535600422528,2.9338427022317184,3.8661572977682814,0.9323145955365632,1,50,100,monte_carlo
0.0,Coffee,2.06,0.2791919191919192,0.528386145912172,0.052838614591217206,1.9564363154012143,2.1635636845987856,0.20712736919757144,2,50,100,monte_carlo
0.0,Home,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,50,100,monte_carlo
